SK_ID_CURR,TARGET,NAME_CONTRACT_TYPE,CODE_GENDER,AMT_INCOME_TOTAL,AMT_CREDIT,AMT_ANNUITY,NAME_INCOME_TYPE,NAME_EDUCATION_TYPE,DAYS_BIRTH,OCCUPATION_TYPE
101721,1,Cash loans,M,175500.0,385749.0,23440.5,Commercial associate,Secondary / secondary special,46,Laborers
101730,1,Cash loans,F,90000.0,450000.0,19066.5,Working,Secondary / secondary special,37,Private service staff
101796,1,Cash loans,M,121500.0,270000.0,18396.0,Working,Secondary / secondary special,32,Laborers
101803,1,Cash loans,M,157500.0,225000.0,17905.5,Working,Secondary / secondary special,22,Laborers
101805,1,Cash loans,F,135000.0,450000.0,22018.5,Working,Secondary / secondary special,41,Private service staff
101859,1,Cash loans,M,220500.0,450000.0,24543.0,Working,Secondary / secondary special,32,Laborers
101871,1,Cash loans,M,202500.0,675000.0,32472.0,Working,Secondary / secondary special,27,Laborers
101883,1,Cash loans,M,157500.0,451804.5,35824.5,Working,Secondary / secondary special,37,Laborers
101970,1,Cash loans,M,315000.0,661702.5,48280.5,Working,Secondary / secondary special,24,Laborers
101980,1,Cash loans,F,135000.0,508495.5,26091.0,State servant,Secondary / secondary special,28,Medicine staff
101983,1,Cash loans,M,76500.0,119925.0,13657.5,Working,Secondary / secondary special,23,Cleaning staff
101988,1,Cash loans,F,135000.0,808650.0,24732.0,Working,Secondary / secondary special,47,Sales staff
102003,1,Cash loans,M,126000.0,835380.0,40320.0,Working,Secondary / secondary special,23,Laborers
102020,1,Cash loans,F,81000.0,755190.0,36459.0,Working,Secondary / secondary special,52,Accountants
102024,1,Cash loans,M,130500.0,292500.0,18022.5,Working,Secondary / secondary special,40,Drivers
102025,1,Cash loans,M,135000.0,117162.0,12748.5,Working,Secondary / secondary special,24,Laborers
102028,1,Cash loans,F,126000.0,450000.0,30204.0,Commercial associate,Secondary / secondary special,31,Sales staff
102031,1,Cash loans,F,135000.0,808650.0,24732.0,Working,Higher education,50,Sales staff
102073,1,Cash loans,F,247500.0,675000.0,53460.0,Working,Secondary / secondary special,50,Managers
102083,1,Cash loans,M,157500.0,506889.0,40176.0,State servant,Secondary / secondary special,43,Managers
102114,1,Cash loans,F,90000.0,781920.0,25969.5,Working,Secondary / secondary special,39,Laborers
102128,1,Revolving loans,M,90000.0,202500.0,10125.0,Working,Secondary / secondary special,26,Laborers
102133,1,Cash loans,F,90000.0,540000.0,25978.5,Working,Secondary / secondary special,46,Sales staff
102148,1,Cash loans,F,99000.0,213948.0,14058.0,Working,Secondary / secondary special,44,Laborers
102208,1,Revolving loans,M,180000.0,157500.0,7875.0,Working,Secondary / secondary special,33,Drivers
102225,1,Cash loans,M,180000.0,736330.5,58306.5,Working,Secondary / secondary special,37,Laborers
102235,1,Cash loans,M,135000.0,755190.0,31995.0,Working,Secondary / secondary special,36,Laborers
102254,1,Cash loans,M,180000.0,881055.0,35073.0,Commercial associate,Secondary / secondary special,52,Laborers
102255,1,Cash loans,F,288000.0,226908.0,10575.0,Commercial associate,Secondary / secondary special,31,Cooking staff
102279,1,Cash loans,M,157500.0,450000.0,30204.0,Working,Incomplete higher,26,Laborers
102334,1,Cash loans,M,229500.0,888840.0,29376.0,Commercial associate,Secondary / secondary special,43,Managers
102376,1,Cash loans,F,135000.0,495000.0,39240.0,Working,Secondary / secondary special,36,Sales staff
102392,1,Cash loans,M,67500.0,808650.0,26217.0,Working,Secondary / secondary special,45,Low-skill Laborers
102407,1,Cash loans,M,108000.0,254700.0,16582.5,Commercial associate,Incomplete higher,23,Core staff
102489,1,Cash loans,M,112500.0,227520.0,11196.0,Working,Secondary / secondary special,51,Laborers
102521,1,Cash loans,F,112500.0,296280.0,23539.5,Working,Secondary / secondary special,37,Cooking staff
102524,1,Cash loans,F,90000.0,383202.0,19696.5,Working,Secondary / secondary special,43,Low-skill Laborers
102529,1,Cash loans,F,130500.0,312768.0,17095.5,Working,Secondary / secondary special,27,Laborers
102586,1,Cash loans,M,135000.0,364896.0,28827.0,Working,Incomplete higher,22,Laborers
102599,1,Cash loans,F,180000.0,1113840.0,47191.5,State servant,Secondary / secondary special,55,Core staff
102608,1,Cash loans,M,157500.0,247500.0,12766.5,Working,Secondary / secondary special,38,Laborers
102673,1,Cash loans,M,270000.0,900000.0,29380.5,Commercial associate,Higher education,58,Drivers
102679,1,Cash loans,M,180000.0,364896.0,19926.0,State servant,Secondary / secondary special,27,Core staff
102688,1,Cash loans,F,139500.0,450000.0,24543.0,Working,Secondary / secondary special,53,Laborers
102715,1,Cash loans,F,117000.0,234000.0,10908.0,Commercial associate,Secondary / secondary special,33,Laborers
102752,1,Cash loans,F,135000.0,539100.0,27652.5,Working,Secondary / secondary special,40,Core staff
102773,1,Cash loans,F,157500.0,176328.0,12775.5,Working,Secondary / secondary special,37,Laborers
102789,1,Cash loans,F,90000.0,593010.0,23107.5,Working,Lower secondary,52,Cooking staff
102795,1,Cash loans,M,135000.0,539100.0,29245.5,Commercial associate,Secondary / secondary special,54,Drivers
102796,1,Cash loans,F,76500.0,314100.0,17167.5,Working,Lower secondary,45,Cooking staff
102837,1,Cash loans,M,202500.0,545040.0,35617.5,Working,Incomplete higher,28,Cooking staff
102875,1,Cash loans,M,112500.0,188685.0,11529.0,Working,Secondary / secondary special,34,Drivers
102882,1,Cash loans,F,85500.0,665892.0,21609.0,Commercial associate,Secondary / secondary special,37,Laborers
102891,1,Cash loans,F,315000.0,824823.0,24246.0,Working,Secondary / secondary special,36,Realty agents
102903,1,Cash loans,F,90000.0,225000.0,16371.0,Working,Higher education,39,Core staff
102909,1,Cash loans,M,157500.0,94500.0,11214.0,Commercial associate,Secondary / secondary special,63,Drivers
102925,1,Cash loans,M,112500.0,553806.0,28404.0,Working,Secondary / secondary special,52,Drivers
102942,1,Cash loans,F,112500.0,646920.0,25195.5,Commercial associate,Secondary / secondary special,36,Sales staff
102959,1,Cash loans,F,333000.0,297130.5,21748.5,Working,Secondary / secondary special,42,Sales staff
103005,1,Cash loans,M,157500.0,1125000.0,33025.5,Working,Higher education,39,Laborers
103059,1,Revolving loans,F,135000.0,180000.0,9000.0,Working,Secondary / secondary special,32,Sales staff
103060,1,Cash loans,F,81000.0,269550.0,16285.5,Working,Secondary / secondary special,39,Laborers
103113,1,Revolving loans,M,45000.0,180000.0,9000.0,Working,Secondary / secondary special,34,Laborers
103133,1,Cash loans,M,157500.0,274500.0,16807.5,Working,Secondary / secondary special,44,Drivers
103148,1,Cash loans,M,180000.0,592560.0,31153.5,Working,Secondary / secondary special,61,Security staff
103159,1,Cash loans,F,103500.0,1467612.0,59904.0,Working,Higher education,45,Accountants
103163,1,Cash loans,M,171000.0,675000.0,32472.0,Working,Secondary / secondary special,36,Laborers
103166,1,Cash loans,M,202500.0,808650.0,31464.0,Working,Secondary / secondary special,40,Laborers
103172,1,Cash loans,F,270000.0,343800.0,10552.5,Commercial associate,Secondary / secondary special,47,Core staff
103187,1,Cash loans,F,121500.0,473661.0,17986.5,Working,Secondary / secondary special,42,Medicine staff
103194,1,Cash loans,F,202500.0,1185120.0,46251.0,Commercial associate,Higher education,39,Accountants
103204,1,Cash loans,F,135000.0,675000.0,40324.5,Working,Secondary / secondary special,41,Sales staff
103207,1,Cash loans,M,112500.0,448056.0,17019.0,Working,Higher education,31,Managers
103217,1,Cash loans,F,90000.0,409500.0,15565.5,Working,Secondary / secondary special,30,Laborers
103228,1,Cash loans,F,144000.0,149256.0,15421.5,Working,Secondary / secondary special,26,Laborers
103292,1,Cash loans,F,180000.0,1350000.0,39604.5,Working,Higher education,38,Managers
103296,1,Cash loans,F,135000.0,373500.0,9981.0,Working,Secondary / secondary special,42,Core staff
103310,1,Cash loans,F,270000.0,225000.0,17905.5,Working,Secondary / secondary special,48,Managers
103325,1,Cash loans,F,112500.0,450000.0,24543.0,Working,Secondary / secondary special,32,Laborers
103346,1,Cash loans,M,90000.0,213948.0,23040.0,Working,Secondary / secondary special,32,Drivers
103381,1,Cash loans,F,292500.0,501435.0,23373.0,Commercial associate,Secondary / secondary special,51,Cooking staff
103384,1,Cash loans,F,121500.0,900000.0,26316.0,State servant,Secondary / secondary special,47,Core staff
103385,1,Cash loans,F,112500.0,343800.0,16852.5,Working,Secondary / secondary special,29,Medicine staff
103390,1,Cash loans,M,292500.0,550980.0,43659.0,Working,Secondary / secondary special,53,Drivers
103422,1,Revolving loans,F,112500.0,270000.0,13500.0,Working,Secondary / secondary special,33,Sales staff
103438,1,Cash loans,F,135000.0,1078200.0,34911.0,Working,Secondary / secondary special,50,Medicine staff
103439,1,Revolving loans,M,315000.0,337500.0,16875.0,Working,Higher education,30,Accountants
103454,1,Cash loans,F,180000.0,157500.0,16960.5,Working,Higher education,28,Sales staff
103458,1,Cash loans,F,117000.0,269550.0,14751.0,Working,Secondary / secondary special,27,Sales staff
103477,1,Cash loans,F,58500.0,157050.0,8649.0,Working,Secondary / secondary special,30,Low-skill Laborers
103486,1,Cash loans,F,166500.0,900000.0,26446.5,Commercial associate,Secondary / secondary special,32,Sales staff
103500,1,Cash loans,M,225000.0,538704.0,26046.0,Commercial associate,Secondary / secondary special,53,Drivers
103507,1,Cash loans,M,225000.0,1350000.0,35743.5,Commercial associate,Incomplete higher,53,Laborers
103518,1,Cash loans,F,180000.0,755190.0,36459.0,Working,Secondary / secondary special,29,Laborers
103531,1,Cash loans,M,171000.0,314100.0,16033.5,Commercial associate,Secondary / secondary special,23,Laborers
103543,1,Cash loans,F,112500.0,254700.0,20250.0,Working,Secondary / secondary special,31,Sales staff
103555,1,Cash loans,M,135000.0,469152.0,28480.5,Working,Secondary / secondary special,22,Laborers
103563,1,Cash loans,F,180000.0,970380.0,28503.0,Commercial associate,Secondary / secondary special,48,Cleaning staff
103593,1,Cash loans,F,180000.0,545040.0,26640.0,Working,Higher education,43,Sales staff
103635,1,Cash loans,F,83304.0,341280.0,9382.5,Commercial associate,Higher education,22,Sales staff
103660,1,Cash loans,F,90000.0,284400.0,16456.5,Working,Secondary / secondary special,47,Private service staff
103698,1,Cash loans,F,112500.0,819432.0,29160.0,Working,Secondary / secondary special,53,Security staff
103702,1,Cash loans,M,225000.0,625356.0,24363.0,Working,Secondary / secondary special,50,Drivers
103759,1,Cash loans,F,184500.0,854896.5,43780.5,Working,Secondary / secondary special,37,Sales staff
103782,1,Cash loans,F,90000.0,343800.0,16852.5,Working,Secondary / secondary special,44,Sales staff
103799,1,Cash loans,M,202500.0,1019299.5,55426.5,Working,Secondary / secondary special,46,Laborers
103810,1,Revolving loans,F,81000.0,135000.0,6750.0,Working,Secondary / secondary special,26,Medicine staff
103845,1,Cash loans,F,135000.0,414792.0,21847.5,Working,Secondary / secondary special,31,Managers
103852,1,Cash loans,M,135000.0,263686.5,28525.5,Working,Secondary / secondary special,32,Drivers
103900,1,Cash loans,F,90000.0,270000.0,20317.5,Working,Secondary / secondary special,43,Medicine staff
103905,1,Cash loans,F,45000.0,156384.0,12100.5,Working,Secondary / secondary special,29,Core staff
103917,1,Cash loans,M,180000.0,400500.0,15228.0,Commercial associate,Secondary / secondary special,50,Drivers
103977,1,Cash loans,F,81000.0,185652.0,9157.5,Working,Secondary / secondary special,23,Sales staff
103979,1,Cash loans,M,135000.0,545040.0,26640.0,Working,Secondary / secondary special,53,Drivers
103986,1,Cash loans,F,135000.0,417024.0,25200.0,Working,Higher education,46,Core staff
103994,1,Cash loans,F,99000.0,254700.0,14620.5,Working,Secondary / secondary special,56,Cleaning staff
103996,1,Cash loans,M,103500.0,438493.5,26626.5,Working,Secondary / secondary special,29,Cleaning staff
104017,1,Cash loans,M,135000.0,545040.0,25537.5,Working,Secondary / secondary special,31,Laborers
104037,1,Cash loans,F,67500.0,381528.0,18684.0,Working,Incomplete higher,29,Secretaries
104041,1,Cash loans,M,202500.0,225000.0,17775.0,Working,Secondary / secondary special,49,Laborers
104053,1,Cash loans,F,225000.0,675000.0,34596.0,Working,Secondary / secondary special,34,Sales staff
104070,1,Cash loans,M,157500.0,297130.5,18085.5,Working,Secondary / secondary special,55,Low-skill Laborers
104090,1,Cash loans,M,121500.0,204768.0,16308.0,Working,Secondary / secondary special,31,Laborers
104106,1,Cash loans,F,117000.0,545040.0,25537.5,Commercial associate,Higher education,25,Sales staff
104107,1,Revolving loans,M,112500.0,270000.0,13500.0,Working,Higher education,50,Core staff
104157,1,Cash loans,F,135000.0,207000.0,15192.0,Commercial associate,Secondary / secondary special,54,Sales staff
104209,1,Cash loans,F,270000.0,1575000.0,43443.0,Working,Secondary / secondary special,30,Laborers
104210,1,Cash loans,F,135000.0,450000.0,35685.0,Working,Secondary / secondary special,30,Laborers
104224,1,Cash loans,F,90000.0,324000.0,15232.5,Working,Secondary / secondary special,24,Sales staff
104262,1,Cash loans,M,157500.0,521280.0,26743.5,Commercial associate,Secondary / secondary special,45,Drivers
104315,1,Revolving loans,F,157500.0,270000.0,13500.0,State servant,Secondary / secondary special,39,Cooking staff
104358,1,Cash loans,M,315000.0,536917.5,30109.5,Commercial associate,Secondary / secondary special,39,High skill tech staff
104364,1,Cash loans,F,108000.0,526500.0,26874.0,Working,Secondary / secondary special,26,Sales staff
104386,1,Cash loans,M,135000.0,239850.0,22770.0,Working,Higher education,45,Managers
104442,1,Cash loans,F,202500.0,1006920.0,42790.5,Working,Secondary / secondary special,54,Managers
104475,1,Cash loans,M,180000.0,1005120.0,29389.5,Commercial associate,Secondary / secondary special,50,Security staff
104488,1,Cash loans,F,166500.0,225000.0,22050.0,Commercial associate,Secondary / secondary special,57,High skill tech staff
104507,1,Cash loans,M,135000.0,254700.0,20119.5,Working,Secondary / secondary special,43,Laborers
104508,1,Cash loans,F,135000.0,545040.0,25537.5,Working,Secondary / secondary special,32,Core staff
104516,1,Cash loans,F,90000.0,900000.0,32017.5,Working,Secondary / secondary special,51,Laborers
104583,1,Cash loans,M,157500.0,328405.5,25947.0,Working,Secondary / secondary special,31,Laborers
104676,1,Cash loans,M,180000.0,215640.0,17064.0,Working,Secondary / secondary special,54,Drivers
104739,1,Cash loans,M,216000.0,746280.0,59094.0,Working,Secondary / secondary special,42,Drivers
104748,1,Cash loans,F,175500.0,566055.0,22063.5,Commercial associate,Incomplete higher,56,Cleaning staff
104753,1,Cash loans,F,180000.0,314100.0,19111.5,Working,Secondary / secondary special,28,Sales staff
104762,1,Cash loans,F,90000.0,526491.0,22261.5,Working,Secondary / secondary special,36,Medicine staff
104777,1,Cash loans,F,157500.0,829224.0,30595.5,Working,Secondary / secondary special,42,Sales staff
104800,1,Cash loans,M,175500.0,284400.0,22468.5,Working,Secondary / secondary special,45,Drivers
104806,1,Revolving loans,F,315000.0,270000.0,13500.0,Working,Secondary / secondary special,32,Managers
104807,1,Cash loans,F,112500.0,284400.0,13387.5,Commercial associate,Secondary / secondary special,27,Cooking staff
104824,1,Cash loans,M,90000.0,276277.5,16915.5,Working,Lower secondary,27,Security staff
104827,1,Cash loans,F,90000.0,406597.5,20889.0,Commercial associate,Higher education,34,Sales staff
104844,1,Cash loans,F,157500.0,592560.0,35937.0,Commercial associate,Higher education,24,Sales staff
104852,1,Cash loans,M,180000.0,429763.5,33952.5,Commercial associate,Secondary / secondary special,44,Laborers
104863,1,Cash loans,M,265500.0,521280.0,28408.5,Commercial associate,Higher education,38,High skill tech staff
104868,1,Cash loans,F,157500.0,1166724.0,30775.5,Working,Secondary / secondary special,48,Sales staff
104884,1,Cash loans,F,117000.0,545040.0,25537.5,Commercial associate,Higher education,43,Core staff
104888,1,Cash loans,M,180000.0,675000.0,61911.0,Working,Secondary / secondary special,56,Drivers
104917,1,Cash loans,M,202500.0,1575000.0,43443.0,Working,Secondary / secondary special,37,Managers
104918,1,Cash loans,F,58500.0,338832.0,17428.5,Commercial associate,Secondary / secondary special,42,Core staff
104944,1,Cash loans,F,225000.0,900000.0,26446.5,State servant,Secondary / secondary special,43,Laborers
104947,1,Cash loans,F,247500.0,1048833.0,33061.5,Working,Higher education,35,Core staff
104961,1,Cash loans,F,247500.0,1288350.0,41562.0,Working,Secondary / secondary special,51,High skill tech staff
104964,1,Cash loans,M,270000.0,857169.0,25191.0,Working,Incomplete higher,48,Laborers
104970,1,Cash loans,F,45000.0,53910.0,4738.5,Working,Secondary / secondary special,32,Low-skill Laborers
104971,1,Cash loans,F,270000.0,521280.0,27423.0,Working,Secondary / secondary special,30,Waiters/barmen staff
104980,1,Cash loans,M,202500.0,675000.0,53460.0,Working,Secondary / secondary special,31,Drivers
104989,1,Cash loans,M,157500.0,508495.5,24592.5,Working,Secondary / secondary special,50,Laborers
105006,1,Cash loans,M,270000.0,450000.0,30573.0,Working,Secondary / secondary special,32,Drivers
105042,1,Cash loans,F,67500.0,225000.0,11983.5,Working,Secondary / secondary special,46,Core staff
105081,1,Cash loans,M,157500.0,301464.0,19395.0,Working,Secondary / secondary special,41,Drivers
105117,1,Cash loans,M,112500.0,113760.0,9117.0,Working,Secondary / secondary special,28,Laborers
105132,1,Cash loans,M,94500.0,534141.0,25978.5,Working,Secondary / secondary special,32,Laborers
105155,1,Cash loans,F,157500.0,297130.5,18085.5,Working,Secondary / secondary special,23,Cleaning staff
105181,1,Cash loans,M,135000.0,487570.5,32580.0,Working,Secondary / secondary special,30,Laborers
105200,1,Cash loans,M,157500.0,732834.0,46962.0,Working,Secondary / secondary special,34,Cleaning staff
105259,1,Cash loans,F,121500.0,521280.0,27292.5,Working,Secondary / secondary special,40,Medicine staff
105263,1,Cash loans,M,157500.0,640080.0,29970.0,Working,Higher education,38,Core staff
105308,1,Cash loans,M,112500.0,634482.0,24714.0,Working,Secondary / secondary special,33,Laborers
105326,1,Cash loans,F,157500.0,544500.0,27931.5,Working,Secondary / secondary special,35,Managers
105363,1,Cash loans,F,112500.0,450000.0,20979.0,Working,Secondary / secondary special,37,Sales staff
105379,1,Cash loans,F,189000.0,896647.5,45909.0,Working,Secondary / secondary special,49,Laborers
105383,1,Cash loans,F,202500.0,454500.0,17739.0,Working,Secondary / secondary special,41,High skill tech staff
105410,1,Cash loans,F,157500.0,909697.5,46579.5,Working,Secondary / secondary special,34,Sales staff
105443,1,Cash loans,M,180000.0,790434.0,40486.5,Working,Secondary / secondary special,39,Managers
105444,1,Cash loans,F,157500.0,808650.0,31464.0,Working,Secondary / secondary special,36,Sales staff
105455,1,Cash loans,F,270000.0,835380.0,40320.0,Working,Secondary / secondary special,48,Laborers
105506,1,Cash loans,F,162000.0,997335.0,35464.5,Working,Secondary / secondary special,44,Laborers
105544,1,Cash loans,F,76500.0,405000.0,15399.0,Working,Higher education,43,Sales staff
105577,1,Cash loans,M,180000.0,195543.0,9981.0,Working,Secondary / secondary special,49,Managers
105611,1,Cash loans,M,252000.0,1042560.0,34587.0,Working,Secondary / secondary special,48,Laborers
105623,1,Cash loans,M,180000.0,283419.0,18450.0,Working,Secondary / secondary special,30,Sales staff
105632,1,Cash loans,M,202500.0,640080.0,31261.5,Working,Secondary / secondary special,27,Laborers
105640,1,Cash loans,F,117000.0,409500.0,26793.0,Working,Higher education,28,Core staff
105646,1,Cash loans,M,180000.0,254700.0,20250.0,Working,Higher education,35,Security staff
105653,1,Cash loans,M,315000.0,675000.0,50598.0,Commercial associate,Incomplete higher,30,Core staff
105662,1,Cash loans,M,90000.0,314100.0,13963.5,Working,Secondary / secondary special,55,Security staff
105668,1,Cash loans,F,135000.0,251280.0,12978.0,Working,Secondary / secondary special,42,Core staff
105683,1,Cash loans,F,135000.0,284400.0,18643.5,Commercial associate,Incomplete higher,23,Sales staff
105688,1,Cash loans,F,90000.0,225000.0,14778.0,Commercial associate,Higher education,28,Secretaries
105702,1,Cash loans,F,90000.0,136512.0,6768.0,Working,Secondary / secondary special,39,Cooking staff
105704,1,Cash loans,M,189000.0,1125000.0,32895.0,Working,Higher education,45,Core staff
105714,1,Cash loans,F,225000.0,521280.0,31500.0,State servant,Higher education,36,Core staff
105745,1,Cash loans,F,135000.0,284400.0,13387.5,Commercial associate,Incomplete higher,29,Accountants
105797,1,Cash loans,M,193500.0,387000.0,26176.5,Working,Secondary / secondary special,53,Laborers
105798,1,Cash loans,F,135000.0,398016.0,31576.5,Commercial associate,Secondary / secondary special,48,Core staff
105831,1,Cash loans,F,135000.0,1024740.0,52321.5,State servant,Incomplete higher,30,Core staff
